ID , x , y , r , b
1 , 341 , 63 , 5 , 45
2 , 559 , 61 , 4 , 38
3 , 107 , 475 , 5 , 31
4 , 163 , 583 , 5 , 28
5 , 377 , 561 , 5 , 26
6 , 583 , 559 , 3 , 255
7 , 353 , 441 , 5 , 33
8 , 79 , 79 , 5 , 27
9 , 325 , 333 , 4 , 58
10 , 117 , 517 , 5 , 26
11 , 421 , 503 , 5 , 26
12 , 517 , 371 , 5 , 27
13 , 159 , 489 , 5 , 37
14 , 179 , 295 , 4 , 37
15 , 81 , 165 , 4 , 26
16 , 239 , 77 , 2 , 246
17 , 59 , 29 , 5 , 27
18 , 207 , 511 , 5 , 30
19 , 277 , 205 , 5 , 35
20 , 449 , 277 , 5 , 26
21 , 563 , 159 , 4 , 28
22 , 269 , 563 , 4 , 39
23 , 373 , 375 , 4 , 39
24 , 473 , 365 , 4 , 27
25 , 203 , 129 , 2 , 255
26 , 305 , 275 , 2 , 254
27 , 55 , 481 , 5 , 28
28 , 223 , 159 , 5 , 25
29 , 429 , 171 , 5 , 28
30 , 491 , 331 , 5 , 25
31 , 559 , 81 , 5 , 27
32 , 167 , 229 , 5 , 29
33 , 31 , 593 , 4 , 30
34 , 93 , 235 , 4 , 33
35 , 107 , 5 , 4 , 25
36 , 109 , 317 , 4 , 32
37 , 179 , 523 , 4 , 27
38 , 187 , 215 , 4 , 25
39 , 211 , 85 , 4 , 26
40 , 219 , 485 , 4 , 33
41 , 235 , 533 , 4 , 26
42 , 239 , 11 , 4 , 26
43 , 273 , 147 , 4 , 25
44 , 355 , 3 , 4 , 30
45 , 375 , 421 , 4 , 27
46 , 377 , 341 , 4 , 34
47 , 395 , 97 , 4 , 25
48 , 449 , 577 , 4 , 42
49 , 567 , 577 , 4 , 26
50 , 463 , 217 , 2 , 254
51 , 477 , 499 , 2 , 255
52 , 25 , 189 , 5 , 26
53 , 95 , 29 , 5 , 25
54 , 107 , 439 , 5 , 26
55 , 111 , 497 , 5 , 26
56 , 135 , 309 , 5 , 26
57 , 157 , 143 , 5 , 25
58 , 173 , 375 , 5 , 26
59 , 183 , 575 , 5 , 26
60 , 219 , 307 , 5 , 26
61 , 231 , 375 , 5 , 26
62 , 243 , 51 , 5 , 25
63 , 279 , 225 , 5 , 25
64 , 325 , 277 , 5 , 25
65 , 367 , 469 , 5 , 26
66 , 379 , 243 , 5 , 25
67 , 403 , 443 , 5 , 32
68 , 405 , 531 , 5 , 26
69 , 423 , 423 , 5 , 26
70 , 437 , 133 , 5 , 25
71 , 443 , 489 , 5 , 27
72 , 565 , 219 , 5 , 25
73 , 581 , 391 , 5 , 26
74 , 45 , 311 , 4 , 27
75 , 379 , 163 , 4 , 25
76 , 463 , 257 , 4 , 25
77 , 487 , 239 , 4 , 25
78 , 53 , 527 , 4 , 27
79 , 67 , 567 , 4 , 28
80 , 69 , 423 , 4 , 26
81 , 89 , 495 , 4 , 26
82 , 145 , 111 , 4 , 25
83 , 201 , 199 , 4 , 25
84 , 229 , 577 , 4 , 27
85 , 277 , 503 , 4 , 26
86 , 301 , 221 , 4 , 25
87 , 323 , 355 , 4 , 26
88 , 327 , 375 , 4 , 26
89 , 333 , 395 , 4 , 26
90 , 333 , 489 , 4 , 26
91 , 453 , 13 , 4 , 25
92 , 543 , 361 , 4 , 26
93 , 569 , 27 , 4 , 27
94 , 579 , 75 , 4 , 26
95 , 45 , 571 , 3 , 29
96 , 127 , 149 , 3 , 25
97 , 191 , 419 , 3 , 28
98 , 263 , 109 , 3 , 26
99 , 279 , 121 , 3 , 25
100 , 333 , 583 , 3 , 26
101 , 453 , 51 , 3 , 25
102 , 485 , 79 , 3 , 26
103 , 557 , 509 , 3 , 36
104 , 297 , 147 , 2 , 254
105 , 117 , 39 , 5 , 35
106 , 235 , 411 , 5 , 31
107 , 97 , 125 , 5 , 25
108 , 139 , 425 , 5 , 30
109 , 365 , 305 , 5 , 25
110 , 471 , 195 , 5 , 25
111 , 501 , 457 , 4 , 26
112 , 501 , 127 , 4 , 25
113 , 123 , 411 , 3 , 27
114 , 321 , 543 , 3 , 26
115 , 407 , 265 , 3 , 25
116 , 19 , 443 , 5 , 29
117 , 329 , 191 , 5 , 26
118 , 363 , 535 , 5 , 26
119 , 5 , 355 , 4 , 27
120 , 17 , 157 , 4 , 26
121 , 163 , 7 , 4 , 33
122 , 365 , 47 , 4 , 25
123 , 533 , 207 , 4 , 27
124 , 523 , 59 , 3 , 25
125 , 41 , 333 , 3 , 26
126 , 397 , 217 , 3 , 27
127 , 147 , 453 , 2 , 251
128 , 347 , 175 , 5 , 25
129 , 169 , 275 , 4 , 26
130 , 213 , 27 , 3 , 30
131 , 275 , 351 , 3 , 26
132 , 479 , 557 , 3 , 26
133 , 339 , 91 , 2 , 204
